freq,Awake_DP,Awake_NFd,Sed_DP_11.36,Sed_NF_11.36,Sed_DP_12.15,Sed_NF_12.15,Sed_DP_12.53,Sed_NF_12.53,Sed_DP_13.13,Sed_NF_13.13,Awake_SF,Awake_NFs,Sed_SF_11.43,Sed_NF_11.43,Sed_SF_12.23,Sed_NF_12.23,Sed_SF_13.02,Sed_NF_13.02,Sed_SF_13.39,Sed_NF_13.39,Awake_phase,Sed_phase_11.43,Sed_phase_12.23,Sed_phase_13.02,Sed_phase_13.39
0.5,14.73889936,-14.02550003,21.35050646,-18.65717683,21.07025215,-11.34199606,19.32864204,-12.98349454,20.12261925,-14.25803538,22.96039706,-19.70797951,2.155778323,-22.00920013,2.916137699,-23.78388462,3.081672857,-20.04591975,1.845710842,-27.1602988,0.18193928,0.228890434,0.219272684,0.233092567,0.26885024
0.503402657,14.8709776,-11.46055396,21.37577758,-18.32384563,21.11964586,-13.0434189,19.42361258,-13.06301729,20.19799081,-15.19601047,22.90815631,-20.21381066,2.370659566,-23.33115309,3.19316202,-24.05682898,3.241575547,-21.68172269,1.964713494,-26.95248787,0.166076896,0.210901952,0.203517963,0.214672954,0.254173607
0.50682847,14.98011643,-10.78877729,21.43696884,-18.51725692,21.22071999,-13.74498485,19.54460118,-13.54171385,20.30108632,-16.19953952,22.92861691,-20.23529474,2.706265118,-24.9918395,3.568813636,-24.23036111,3.530827454,-22.57037099,2.157910989,-26.61588025,0.148335813,0.191658356,0.186822302,0.194617799,0.238014796
0.510277597,15.04813621,-10.62874266,21.53383228,-19.06955243,21.36344779,-13.95712095,19.68560342,-13.87009727,20.42391863,-16.76409052,23.08962144,-19.64102242,3.150050358,-26.70624973,4.020981162,-24.19606825,3.94214482,-21.66335265,2.434599284,-26.13816377,0.130713656,0.173646625,0.171281399,0.175675027,0.222338581
0.513750196,15.07408376,-10.55719787,21.66176361,-20.18258745,21.5364108,-14.08337006,19.84088555,-13.95545475,20.5597143,-16.98007116,23.38230692,-18.62766065,3.677368198,-28.08801808,4.531049351,-23.9546273,4.450689735,-19.70748496,2.784963329,-25.56045309,0.113627261,0.157162895,0.157043054,0.158236903,0.207409636
0.517246427,15.07012356,-10.72424246,21.81149796,-21.75334623,21.72698904,-14.07381219,20.00400113,-13.95588095,20.70229668,-17.06190653,23.78713846,-17.43137963,4.263164644,-28.44000949,5.08132428,-23.53412279,5.029356974,-17.63920482,3.19643363,-24.921141,0.097421236,0.142327734,0.144149337,0.142496415,0.193416983
0.520766451,15.05550576,-11.09718072,21.97182844,-23.41712149,21.92365093,-14.07014727,20.16956458,-14.02097404,20.84743288,-17.18447788,24.27889366,-16.20850048,4.885258268,-27.49180076,5.656514318,-22.97895213,5.653150977,-15.77620215,3.65548415,-24.25097034,0.082335168,0.129125736,0.132564602,0.128480508,0.180470067
0.52431043,15.07999409,-11.57685398,22.13732442,-25.49598013,22.12197235,-14.39390155,20.33910884,-14.27239774,20.99804533,-17.54347474,24.83172317,-15.03440057,5.525805549,-25.83177009,6.24429569,-22.33596626,6.301476599,-14.15358001,4.149101589,-23.57209885,0.068498245,0.117454872,0.122204477,0.116104066,0.168608003
0.527878527,15.14767942,-12.34822837,22.29686201,-29.06886373,22.31246802,-15.03126128,20.50853375,-14.75891353,21.15071822,-18.09294343,25.34504738,-13.93695186,6.141809345,-24.05569291,6.805634921,-21.64508937,6.9290607,-12.73939799,4.636107247,-22.89928242,0.055944768,0.107168977,0.112959623,0.105220916,0.157815719
0.531470906,15.25146683,-13.3172729,22.44026712,-32.85987539,22.48602533,-15.67759622,20.67344273,-15.35311566,21.30089535,-18.47125479,25.87554188,-12.92157281,6.753747995,-22.40382744,7.363614288,-20.9359756,7.554683842,-11.49502383,5.136795939,-22.24168531,0.044639456,0.098107557,0.104712486,0.095661401,0.14804137
