subject,sex,exp,delivery_date,est_birth_date,birth_date,test_date,est_age_months
Q335,M,Control,9/27/2017,3/31/2017,nan,,
Q365,M,OLD,9/18/2018,3/22/2018,5/10/2018,,
Q368,M,OLD,9/18/2018,3/22/2018,5/25/2018,,
Q402,M,TTS,3/30/2021,10/1/2020,12/29/2020,,
Q407,M,TTS,3/30/2021,10/1/2020,7/20/2020,,
Q411,F,TTS,3/30/2021,10/1/2020,9/6/2020,,
Q412,M,TTS,4/11/2022,10/13/2021,10/1/2021,,
Q414,M,Furosemide,4/11/2022,10/13/2021,9/1/2021,,
Q416,M,Control,4/11/2022,10/13/2021,10/1/2021,,
Q421,F,CA,4/11/2022,10/13/2021,8/1/2021,11/1/2023,27.02465753
Q422,F,,4/11/2022,9/1/2021,9/1/2021,11/8/2023,26.23561644
Q424,M,TTS,4/27/2023,10/29/2022,9/30/2022,10/23/2023,12.75616438
Q425,M,CA,4/27/2023,10/29/2022,9/16/2022,,
Q426,M,TTS,4/27/2023,10/29/2022,9/20/2022,11/17/2023,13.90684932
Q427,M,PTS,4/27/2023,10/29/2022,10/15/2022,,
Q430,M,CA,4/27/2023,10/29/2022,9/20/2022,,
Q431,M,CA,4/27/2023,10/29/2022,11/4/2022,10/23/2023,11.60547945
Q432,M,Control,4/27/2023,10/29/2022,10/4/2022,,
Q436,F,OLD,10/20/2023,4/23/2023,11/16/2020,,
Q440,F,,10/20/2023,11/16/2020,11/16/2020,12/11/2023,36.82191781
Q441,F,CA,10/20/2023,4/23/2023,11/16/2020,12/12/2023,36.85479452
Q444,F,OLD,10/20/2023,4/23/2023,11/16/2020,,
Q448,M,OLD,10/20/2023,4/23/2023,11/16/2020,,
Q451,M,GE,1/31/2024,8/4/2023,NAN,,
Q452,F,PTS,1/31/2024,8/4/2023,NAN,,
Q453,F,PTS,1/31/2024,8/4/2023,NAN,2/16/2024,6.44
Q454,,GE,1/31/2024,8/4/2023,NAN,3/22/2024,7.59
Q455,F,TTS,1/31/2024,8/4/2023,NAN,,
Q458,M,GE,1/31/2024,8/4/2023,NAN,4/15/2024,8.38
Q459,M,GE,1/31/2024,8/4/2023,NAN,,
Q466,M,PTS,5/29/2024,12/1/2023,NAN,,
Q467,M,CA,5/29/2024,12/1/2023,NAN,,
Q469,F,PTS,5/29/2024,12/1/2023,NAN,8/27/2024,8.88
Q472,F,,5/29/2024,12/1/2023,NAN,7/25/2024,7.79
Q477,F,Control,5/29/2024,12/1/2023,NAN,,
Q489,F,PTS,7/10/2024,1/12/2024,2/1/2024,11/11/2024,9.34
Q490,F,PTS,7/10/2024,1/12/2024,2/28/2024,12/17/2024,9.63
Q491,M,PTS,7/10/2024,1/12/2024,NAN,10/9/2024,8.91
Q492,M,GE,7/10/2024,1/12/2024,NAN,10/1/2024,8.65
Q496,F,CA,10/9/2024,4/12/2024,nan,1/15/2025,9.14
Q498,M,GE,10/9/2024,4/12/2024,nan,12/17/2024,8.19
Q501,M,PTS,12/18/2024,6/21/2024,6/8/2024,1/15/2025,7.265753425
Q502,M,PTS,12/18/2024,6/21/2024,6/1/2024,1/15/2025,7.495890411
Q515,F,Control,2/5/2025,8/9/2024,9/4/2024,,
Q516,F,Control,2/5/2025,8/9/2024,8/27/2024,,
